id,stock
326,57.0
327,68.0
328,95.0
329,94.0
330,86.0
331,43.0
332,32.0
333,97.0
334,82.0
335,79.0
336,71.0
337,60.0
338,25.0
339,38.0
340,75.0
341,31.0
342,72.0
343,9.0
344,42.0
345,1.0
346,26.0
347,98.0
348,54.0
349,98.0
350,51.0
351,98.0
352,61.0
353,16.0
354,90.0
355,67.0
356,45.0
357,34.0
358,19.0
359,42.0
360,46.0
361,87.0
362,60.0
363,64.0
364,51.0
365,7.0
366,63.0
367,25.0
368,95.0
369,32.0
370,95.0
371,47.0
372,71.0
373,37.0
374,51.0
375,82.0
376,86.0
377,51.0
378,85.0
379,95.0
380,32.0
381,6.0
382,55.0
383,24.0
384,85.0
385,89.0
386,66.0
387,99.0
388,56.0
389,32.0
390,71.0
391,60.0
392,86.0
393,63.0
394,96.0
395,41.0
396,72.0
397,20.0
398,35.0
399,9.0
400,87.0
401,53.0
402,52.0
403,8.0
404,63.0
405,44.0
406,39.0
407,86.0
408,24.0
409,20.0
410,72.0
411,73.0
412,43.0
413,21.0
414,88.0
415,66.0
416,86.0
417,88.0
418,83.0
419,73.0
420,63.0
421,51.0
422,11.0
423,41.0
424,73.0
425,94.0
426,25.0
427,7.0
428,45.0
429,69.0
430,98.0
431,97.0
432,92.0
433,16.0
434,19.0
435,58.0
436,92.0
437,20.0
438,87.0
439,33.0
440,61.0
441,28.0
442,29.0
443,66.0
444,55.0
445,94.0
446,78.0
447,72.0
448,57.0
449,52.0
450,16.0
451,3.0
452,66.0
453,72.0
454,67.0
455,38.0
456,76.0
457,12.0
458,77.0
459,54.0
460,78.0
461,50.0
462,80.0
463,50.0
464,70.0
465,53.0
466,80.0
467,61.0
468,11.0
469,85.0
470,17.0
471,42.0
472,52.0
473,69.0
474,56.0
475,55.0
476,93.0
477,66.0
478,2.0
479,59.0
480,61.0
481,24.0
482,18.0
483,23.0
484,46.0
485,53.0
486,88.0
487,70.0
488,5.0
489,62.0
490,8.0
491,2.0
492,75.0
493,71.0
494,41.0
495,49.0
496,41.0
497,43.0
498,15.0
499,91.0
500,36.0
501,66.0
502,74.0
503,71.0
504,9.0
505,91.0
506,59.0
507,52.0
508,80.0
509,40.0
510,92.0
511,37.0
512,61.0
513,61.0
514,68.0
515,28.0
516,60.0
517,70.0
518,9.0
519,5.0
520,2.0
521,31.0
522,93.0
523,0.0
524,59.0
525,20.0
526,95.0
527,62.0
528,50.0
529,17.0
530,15.0
531,48.0
532,52.0
533,11.0
534,49.0
535,2.0
536,67.0
537,28.0
538,97.0
539,57.0
540,64.0
541,27.0
542,70.0
543,27.0
544,75.0
545,89.0
546,43.0
547,71.0
548,76.0
549,62.0
550,62.0
551,80.0
552,5.0
553,84.0
554,52.0
555,34.0
556,24.0
557,64.0
558,7.0
559,97.0
560,89.0
561,14.0
562,3.0
563,0.0
564,84.0
565,42.0
566,42.0
567,14.0
568,39.0
569,0.0
570,58.0
571,81.0
572,62.0
573,70.0
574,91.0
575,13.0
576,46.0
577,43.0
578,62.0
579,94.0
580,74.0
581,46.0
582,25.0
583,3.0
584,53.0
585,13.0
586,74.0
587,42.0
588,24.0
589,86.0
590,46.0
591,82.0
592,66.0
593,73.0
594,65.0
595,18.0
596,96.0
597,84.0
598,9.0
599,31.0
600,56.0
1,
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,
17,
18,
19,
20,
21,
22,
23,
24,
25,
26,
27,
28,
29,
30,
